country,year,eu_sanctions_any,us_sanctions_any,un_sanctions_any,multilateral_sanctions_any,eu_economic_sanctions,us_economic_sanctions,un_economic_sanctions,sanctions_intensity_score
Argentina,1989,0,0,0,0,0,0,0,0.0
Argentina,1990,0,0,0,0,0,0,0,0.0
Argentina,1991,0,0,0,0,0,0,0,0.0
Argentina,1992,0,0,0,0,0,0,0,0.0
Argentina,1993,0,0,0,0,0,0,0,0.0
Argentina,1994,0,0,0,0,0,0,0,0.0
Argentina,1995,0,0,0,0,0,0,0,0.0
Argentina,1996,0,0,0,0,0,0,0,0.0
Argentina,1997,0,0,0,0,0,0,0,0.0
Argentina,1998,0,0,0,0,0,0,0,0.0
Argentina,1999,0,0,0,0,0,0,0,0.0
Argentina,2000,0,0,0,0,0,0,0,0.0
Argentina,2001,0,0,0,0,0,0,0,0.0
Argentina,2002,0,0,0,0,0,0,0,0.0
Argentina,2003,0,0,0,0,0,0,0,0.0
Argentina,2004,0,0,0,0,0,0,0,0.0
Argentina,2005,0,0,0,0,0,0,0,0.0
Argentina,2006,0,0,0,0,0,0,0,0.0
Argentina,2007,0,0,0,0,0,0,0,0.0
Argentina,2008,0,0,0,0,0,0,0,0.0
Argentina,2009,0,0,0,0,0,0,0,0.0
Argentina,2010,0,0,0,0,0,0,0,0.0
Argentina,2011,0,0,0,0,0,0,0,0.0
Argentina,2012,0,0,0,0,0,0,0,0.0
Argentina,2013,0,0,0,0,0,0,0,0.0
Argentina,2014,0,0,0,0,0,0,0,0.0
Argentina,2015,0,0,0,0,0,0,0,0.0
Belize,1989,0,0,0,0,0,0,0,0.0
Belize,1990,0,0,0,0,0,0,0,0.0
Belize,1991,0,0,0,0,0,0,0,0.0
Belize,1992,0,0,0,0,0,0,0,0.0
Belize,1993,0,0,0,0,0,0,0,0.0
Belize,1994,0,0,0,0,0,0,0,0.0
Belize,1995,0,0,0,0,0,0,0,0.0
Belize,1996,0,0,0,0,0,0,0,0.0
Belize,1997,0,1,0,0,0,0,0,12.0
Belize,1998,0,1,0,0,0,0,0,12.0
Belize,1999,0,0,0,0,0,0,0,0.0
Belize,2000,0,1,0,0,0,0,0,12.0
Belize,2001,0,1,0,0,0,0,0,12.0
Belize,2002,0,1,0,0,0,0,0,12.0
Belize,2003,0,1,0,0,0,0,0,12.0
Belize,2004,0,0,0,0,0,0,0,0.0
Belize,2005,0,0,0,0,0,0,0,0.0
Belize,2006,0,0,0,0,0,0,0,0.0
Belize,2007,0,0,0,0,0,0,0,0.0
Belize,2008,0,0,0,0,0,0,0,0.0
Belize,2009,0,0,0,0,0,0,0,0.0
Belize,2010,0,0,0,0,0,0,0,0.0
Belize,2011,0,0,0,0,0,0,0,0.0
Belize,2012,0,0,0,0,0,0,0,0.0
Belize,2013,0,0,0,0,0,0,0,0.0
Belize,2014,0,0,0,0,0,0,0,0.0
Belize,2015,0,0,0,0,0,0,0,0.0
Bolivia,1989,0,0,0,0,0,0,0,0.0
Bolivia,1990,0,0,0,0,0,0,0,0.0
Bolivia,1991,0,1,0,0,0,0,0,12.0
Bolivia,1992,0,0,0,0,0,0,0,0.0
Bolivia,1993,0,0,0,0,0,0,0,0.0
Bolivia,1994,0,1,0,0,0,0,0,12.0
Bolivia,1995,0,1,0,0,0,0,0,12.0
Bolivia,1996,0,1,0,0,0,0,0,12.0
Bolivia,1997,0,0,0,0,0,0,0,0.0
Bolivia,1998,0,0,0,0,0,0,0,0.0
Bolivia,1999,0,0,0,0,0,0,0,0.0
Bolivia,2000,0,1,0,0,0,0,0,12.0
Bolivia,2001,0,1,0,0,0,0,0,12.0
Bolivia,2002,0,1,0,0,0,0,0,12.0
Bolivia,2003,0,1,0,0,0,0,0,12.0
Bolivia,2004,0,1,0,0,0,0,0,12.0
Bolivia,2005,0,1,0,0,0,0,0,12.0
Bolivia,2006,0,1,0,0,0,0,0,12.0
Bolivia,2007,0,1,0,0,0,0,0,12.0
Bolivia,2008,0,1,0,0,0,0,0,12.0
Bolivia,2009,0,1,0,0,0,0,0,12.0
Bolivia,2010,0,1,0,0,0,0,0,12.0
Bolivia,2011,0,1,0,0,0,0,0,12.0
